Rank,Institution,Location,Continent,Founded,Affiliation,Distance/In-Person[a],Enrollment,Link
74,Université du Québec,"Quebec, Canada",North America,1968,Public,In-Person/Distance,101915,https://en.wikipedia.org/wiki/Canada
75,Virtual University of Pakistan,"Lahore, Islamabad, Pakistan",Asia,2002,Public,Distance,100000,https://en.wikipedia.org/wiki/Pakistan
76,"Vietnam National University, Ho Chi Minh City","Ho Chi Minh City, Vietnam",Asia,1995,Public,In-Person,98648,https://en.wikipedia.org/wiki/Vietnam
77,University of Belgrade,"Belgrade, Serbia",Europe,1808,Public,In-Person,97696,https://en.wikipedia.org/wiki/Serbia
78,University of Vienna,"Vienna, Austria",Europe,1365,Public,In-Person,91715,https://en.wikipedia.org/wiki/Austria
79,Monterrey Institute of Technology and Higher Education,"Monterrey, Nuevo León, Mexico",North America,1943,Private,In-Person,91200,https://en.wikipedia.org/wiki/Mexico
80,University of Toronto,"Toronto, Canada",North America,1827,Public,In-Person,88766,https://en.wikipedia.org/wiki/Canada
81,Aristotle University of Thessaloniki,"Thessaloniki, Greece",Europe,1925,Public,In-Person,88283,https://en.wikipedia.org/wiki/Greece
82,Polytechnic University of the Philippines,Philippines,Asia,1904,Public,Distance/In-Person,83328,https://en.wikipedia.org/wiki/Philippines
83,Complutense University of Madrid,"Madrid, Spain",Europe,1293,Public,In-Person,83000,https://en.wikipedia.org/wiki/Spain
84,Farhangian University,Iran,Asia,2012,Public,In-Person,80000,https://en.wikipedia.org/wiki/Iran
85,Aix-Marseille University,"Marseille, France",Europe,1409,Public,In-Person,80000,https://en.wikipedia.org/wiki/France
86,University of Hagen,"Hagen, Germany",Europe,1974,Public,Distance,69982,https://en.wikipedia.org/wiki/Germany
87,Université de Montréal,Canada,North America,1878,Public,Distance/In-Person,67109,https://en.wikipedia.org/wiki/Canada
88,University of the Philippines,Philippines,Asia,1908,Public,Distance/In-Person,64144,https://en.wikipedia.org/wiki/Philippines
89,"Academic Center for Education, Culture and Research",Iran,Asia,1980,Private,In-Person,60000,https://en.wikipedia.org/wiki/Iran
